Date,Fire_Count,Fire_Pressure
2016-07-11,2,0.51
2016-07-12,0,0.0
2016-07-13,0,0.0
2016-07-14,0,0.0
2016-07-15,0,0.0
2016-07-16,0,0.0
2016-07-17,0,0.0
2016-07-18,0,0.0
2016-07-19,0,0.0
2016-07-20,0,0.0
2016-07-21,0,0.0
2016-07-22,0,0.0
2016-07-23,0,0.0
2016-07-24,0,0.0
2016-07-25,0,0.0
2016-07-26,0,0.0
2016-07-27,0,0.0
2016-07-28,0,0.0
2016-07-29,0,0.0
2016-07-30,0,0.0
2016-07-31,0,0.0
2016-08-01,0,0.0
2016-08-02,1,0.54
2016-08-03,0,0.0
2016-08-04,0,0.0
2016-08-05,0,0.0
2016-08-06,0,0.0
2016-08-07,0,0.0
2016-08-08,0,0.0
2016-08-09,0,0.0
2016-08-10,0,0.0
2016-08-11,0,0.0
2016-08-12,0,0.0
2016-08-13,0,0.0
2016-08-14,0,0.0
2016-08-15,0,0.0
2016-08-16,0,0.0
2016-08-17,0,0.0
2016-08-18,0,0.0
2016-08-19,0,0.0
2016-08-20,0,0.0
2016-08-21,0,0.0
2016-08-22,0,0.0
2016-08-23,0,0.0
2016-08-24,0,0.0
2016-08-25,0,0.0
2016-08-26,0,0.0
2016-08-27,0,0.0
2016-08-28,0,0.0
2016-08-29,0,0.0
2016-08-30,0,0.0
2016-08-31,0,0.0
2016-09-01,0,0.0
2016-09-02,0,0.0
2016-09-03,0,0.0
2016-09-04,0,0.0
2016-09-05,0,0.0
2016-09-06,0,0.0
2016-09-07,0,0.0
2016-09-08,0,0.0
2016-09-09,0,0.0
2016-09-10,0,0.0
2016-09-11,0,0.0
2016-09-12,0,0.0
2016-09-13,0,0.0
2016-09-14,0,0.0
2016-09-15,0,0.0
2016-09-16,0,0.0
2016-09-17,0,0.0
2016-09-18,0,0.0
2016-09-19,0,0.0
2016-09-20,0,0.0
2016-09-21,0,0.0
2016-09-22,0,0.0
2016-09-23,0,0.0
2016-09-24,3,1.17
2016-09-25,0,0.0
2016-09-26,0,0.0
2016-09-27,0,0.0
2016-09-28,2,2.95
2016-09-29,0,0.0
2016-09-30,0,0.0
2016-10-01,0,0.0
2016-10-02,0,0.0
2016-10-03,0,0.0
2016-10-04,0,0.0
2016-10-05,0,0.0
2016-10-06,0,0.0
2016-10-07,0,0.0
2016-10-08,0,0.0
2016-10-09,0,0.0
2016-10-10,1,2.27
2016-10-11,1,2.13
2016-10-12,0,0.0
2016-10-13,0,0.0
2016-10-14,2,9.09
2016-10-15,0,0.0
2016-10-16,0,0.0
2016-10-17,2,1.36
2016-10-18,2,0.59
2016-10-19,0,0.0
2016-10-20,4,2.2
2016-10-21,2,1.02
2016-10-22,1,0.21
2016-10-23,0,0.0
2016-10-24,0,0.0
2016-10-25,0,0.0
2016-10-26,0,0.0
2016-10-27,0,0.0
2016-10-28,0,0.0
2016-10-29,0,0.0
2016-10-30,0,0.0
2016-10-31,1,0.12
2016-11-01,0,0.0
2016-11-02,0,0.0
2016-11-03,0,0.0
2016-11-04,0,0.0
2016-11-05,0,0.0
2016-11-06,4,1.91
2016-11-07,1,0.15
2016-11-08,0,0.0
2016-11-09,0,0.0
2016-11-10,0,0.0
2016-11-11,0,0.0
2016-11-12,0,0.0
2016-11-13,0,0.0
2016-11-14,0,0.0
2016-11-15,2,0.24
2016-11-16,1,0.15
2016-11-17,2,0.47
2016-11-18,0,0.0
2016-11-19,0,0.0
2016-11-20,0,0.0
2016-11-21,6,4.27
2016-11-22,12,7.4
2016-11-23,9,5.65
2016-11-24,0,0.0
2016-11-25,4,8.01
2016-11-26,2,0.7
2016-11-27,0,0.0
2016-11-28,1,0.48
2016-11-29,1,0.1
2016-11-30,0,0.0
2016-12-01,8,10.37
2016-12-02,7,30.74
2016-12-03,13,10.65
2016-12-04,22,26.21
2016-12-05,8,3.1
2016-12-06,9,3.53
2016-12-07,27,19.46
2016-12-08,9,5.85
2016-12-09,33,16.2
2016-12-10,17,18.26
2016-12-11,2,5.94
2016-12-12,6,8.83
2016-12-13,24,48.47
2016-12-14,39,17.15
2016-12-15,9,2.75
2016-12-16,0,0.0
2016-12-17,0,0.0
2016-12-18,1,0.08
2016-12-19,22,27.99
2016-12-20,9,20.44
2016-12-21,8,3.32
2016-12-22,9,3.02
2016-12-23,11,4.38
2016-12-24,15,17.01
2016-12-25,15,4.89
2016-12-26,2,0.25
2016-12-27,11,8.13
2016-12-28,10,7.56
2016-12-29,1,0.15
2016-12-30,9,6.95
2016-12-31,0,0.0
2017-01-01,0,0.0
2017-01-02,0,0.0
2017-01-03,0,0.0
2017-01-04,0,0.0
2017-01-05,0,0.0
2017-01-06,0,0.0
2017-01-07,0,0.0
2017-01-08,0,0.0
2017-01-09,1,0.13
2017-01-10,0,0.0
2017-01-11,0,0.0
2017-01-12,0,0.0
2017-01-13,0,0.0
2017-01-14,0,0.0
2017-01-15,0,0.0
2017-01-16,2,0.26
2017-01-17,0,0.0
2017-01-18,8,7.08
2017-01-19,1,0.32
2017-01-20,6,27.35
2017-01-21,2,0.9
2017-01-22,2,0.55
2017-01-23,0,0.0
2017-01-24,10,6.43
2017-01-25,8,2.88
2017-01-26,15,3.52
2017-01-27,3,0.39
2017-01-28,2,0.36
2017-01-29,3,1.83
2017-01-30,7,1.21
2017-01-31,15,10.65
2017-02-01,5,1.04
2017-02-02,4,0.61
2017-02-03,7,6.09
2017-02-04,3,0.39
2017-02-05,16,4.58
2017-02-06,9,3.44
2017-02-07,4,1.65
2017-02-08,24,6.16
2017-02-09,17,16.34
2017-02-10,27,9.32
2017-02-11,11,8.65
2017-02-12,6,1.27
2017-02-13,13,2.46
2017-02-14,13,2.3
2017-02-15,23,7.56
2017-02-16,30,12.58
2017-02-17,2,0.28
2017-02-18,0,0.0
2017-02-19,0,0.0
2017-02-20,0,0.0
2017-02-21,1,0.85
2017-02-22,3,0.44
2017-02-23,2,0.3
2017-02-24,0,0.0
2017-02-25,14,1.91
2017-02-26,6,0.71
2017-02-27,3,0.4
2017-02-28,0,0.0
2017-03-01,5,0.7
2017-03-02,3,0.43
2017-03-03,2,0.26
2017-03-04,4,0.55
2017-03-05,8,0.91
2017-03-06,8,2.78
2017-03-07,5,0.62
2017-03-08,5,0.43
2017-03-09,6,0.94
2017-03-10,1,0.17
2017-03-11,8,0.96
2017-03-12,13,1.74
2017-03-13,12,1.78
2017-03-14,19,2.71
2017-03-15,5,0.54
2017-03-16,28,11.43
2017-03-17,46,7.34
2017-03-18,20,2.39
2017-03-19,47,5.93
2017-03-20,49,6.2
2017-03-21,40,5.75
2017-03-22,114,22.55
2017-03-23,43,6.3
2017-03-24,63,8.82
2017-03-25,105,17.9
2017-03-26,60,6.84
2017-03-27,32,3.08
2017-03-28,6,0.65
2017-03-29,3,0.52
2017-03-30,3,0.3
2017-03-31,8,1.23
2017-04-01,0,0.0
2017-04-02,0,0.0
2017-04-03,1,0.15
2017-04-04,0,0.0
2017-04-05,0,0.0
2017-04-06,1,0.13
2017-04-07,19,2.17
2017-04-08,45,7.28
2017-04-09,16,2.02
2017-04-10,89,10.87
2017-04-11,63,8.65
2017-04-12,18,2.1
2017-04-13,0,0.0
2017-04-14,0,0.0
2017-04-15,0,0.0
2017-04-16,0,0.0
2017-04-17,0,0.0
2017-04-18,2,0.78
2017-04-19,6,9.51
2017-04-20,37,23.2
2017-04-21,65,17.31
2017-04-22,58,23.36
2017-04-23,4,0.32
2017-04-24,0,0.0
2017-04-25,63,19.08
2017-04-26,55,13.3
2017-04-27,40,10.45
2017-04-28,6,1.3
2017-04-29,0,0.0
2017-04-30,5,1.53
2017-05-01,41,21.33
2017-05-02,34,9.98
2017-05-03,44,21.6
2017-05-04,27,8.12
2017-05-05,12,2.15
2017-05-06,0,0.0
2017-05-07,6,2.32
2017-05-08,7,1.25
2017-05-09,9,4.08
2017-05-10,0,0.0
2017-05-11,6,16.59
2017-05-12,0,0.0
2017-05-13,4,0.82
2017-05-14,3,2.41
2017-05-15,0,0.0
2017-05-16,0,0.0
2017-05-17,0,0.0
2017-05-18,0,0.0
2017-05-19,0,0.0
2017-05-20,0,0.0
2017-05-21,1,7.23
2017-05-22,17,7.07
2017-05-23,3,0.4
2017-05-24,3,0.44
2017-05-25,0,0.0
2017-05-26,0,0.0
2017-05-27,1,0.32
2017-05-28,0,0.0
2017-05-29,0,0.0
2017-05-30,0,0.0
2017-05-31,0,0.0
2017-06-01,0,0.0
2017-06-02,5,6.05
2017-06-03,2,0.43
2017-06-04,0,0.0
2017-06-05,0,0.0
2017-06-06,3,0.69
2017-06-07,0,0.0
2017-06-08,0,0.0
2017-06-09,0,0.0
2017-06-10,0,0.0
2017-06-11,0,0.0
2017-06-12,0,0.0
2017-06-13,0,0.0
2017-06-14,0,0.0
2017-06-15,0,0.0
2017-06-16,0,0.0
2017-06-17,0,0.0
2017-06-18,1,0.19
2017-06-19,2,0.41
2017-06-20,0,0.0
2017-06-21,1,0.09
2017-06-22,0,0.0
2017-06-23,1,0.12
2017-06-24,0,0.0
2017-06-25,0,0.0
2017-06-26,0,0.0
2017-06-27,0,0.0
2017-06-28,0,0.0
2017-06-29,0,0.0
2017-06-30,0,0.0
2017-07-01,0,0.0
2017-07-02,0,0.0
2017-07-03,0,0.0
2017-07-04,0,0.0
2017-07-05,0,0.0
2017-07-06,0,0.0
2017-07-07,0,0.0
2017-07-08,0,0.0
2017-07-09,0,0.0
2017-07-10,0,0.0
2017-07-11,0,0.0
2017-07-12,0,0.0
2017-07-13,0,0.0
2017-07-14,0,0.0
2017-07-15,0,0.0
2017-07-16,0,0.0
2017-07-17,0,0.0
2017-07-18,0,0.0
2017-07-19,0,0.0
2017-07-20,0,0.0
2017-07-21,0,0.0
2017-07-22,0,0.0
2017-07-23,0,0.0
2017-07-24,0,0.0
2017-07-25,0,0.0
2017-07-26,0,0.0
2017-07-27,0,0.0
2017-07-28,0,0.0
2017-07-29,0,0.0
2017-07-30,0,0.0
2017-07-31,0,0.0
2017-08-01,0,0.0
2017-08-02,0,0.0
2017-08-03,0,0.0
2017-08-04,0,0.0
2017-08-05,0,0.0
2017-08-06,0,0.0
2017-08-07,0,0.0
2017-08-08,0,0.0
2017-08-09,0,0.0
2017-08-10,0,0.0
2017-08-11,0,0.0
2017-08-12,0,0.0
2017-08-13,0,0.0
2017-08-14,0,0.0
2017-08-15,0,0.0
2017-08-16,0,0.0
2017-08-17,0,0.0
2017-08-18,0,0.0
2017-08-19,0,0.0
2017-08-20,0,0.0
2017-08-21,0,0.0
2017-08-22,0,0.0
2017-08-23,0,0.0
2017-08-24,0,0.0
2017-08-25,0,0.0
2017-08-26,0,0.0
2017-08-27,0,0.0
2017-08-28,0,0.0
2017-08-29,0,0.0
2017-08-30,0,0.0
2017-08-31,0,0.0
2017-09-01,0,0.0
2017-09-02,0,0.0
2017-09-03,0,0.0
2017-09-04,0,0.0
2017-09-05,0,0.0
2017-09-06,0,0.0
2017-09-07,0,0.0
2017-09-08,0,0.0
2017-09-09,0,0.0
2017-09-10,0,0.0
2017-09-11,0,0.0
2017-09-12,0,0.0
2017-09-13,0,0.0
2017-09-14,0,0.0
2017-09-15,1,2.22
2017-09-16,0,0.0
2017-09-17,0,0.0
2017-09-18,0,0.0
2017-09-19,0,0.0
2017-09-20,0,0.0
2017-09-21,0,0.0
2017-09-22,0,0.0
2017-09-23,0,0.0
2017-09-24,0,0.0
2017-09-25,0,0.0
2017-09-26,0,0.0
2017-09-27,0,0.0
2017-09-28,0,0.0
2017-09-29,0,0.0
2017-09-30,0,0.0
2017-10-01,0,0.0
2017-10-02,0,0.0
2017-10-03,0,0.0
2017-10-04,1,1.41
2017-10-05,0,0.0
2017-10-06,0,0.0
2017-10-07,0,0.0
2017-10-08,0,0.0
2017-10-09,0,0.0
2017-10-10,0,0.0
2017-10-11,0,0.0
2017-10-12,0,0.0
2017-10-13,0,0.0
2017-10-14,0,0.0
2017-10-15,0,0.0
2017-10-16,0,0.0
2017-10-17,0,0.0
2017-10-18,0,0.0
2017-10-19,0,0.0
2017-10-20,1,0.11
2017-10-21,0,0.0
2017-10-22,0,0.0
2017-10-23,0,0.0
2017-10-24,0,0.0
2017-10-25,0,0.0
2017-10-26,0,0.0
2017-10-27,0,0.0
2017-10-28,0,0.0
2017-10-29,0,0.0
2017-10-30,0,0.0
2017-10-31,1,0.43
2017-11-01,0,0.0
2017-11-02,0,0.0
2017-11-03,0,0.0
2017-11-04,5,4.68
2017-11-05,0,0.0
2017-11-06,0,0.0
2017-11-07,0,0.0
2017-11-08,0,0.0
2017-11-09,0,0.0
2017-11-10,4,1.0
2017-11-11,0,0.0
2017-11-12,0,0.0
2017-11-13,2,0.4
2017-11-14,5,3.0
2017-11-15,7,11.05
2017-11-16,1,0.13
2017-11-17,1,0.07
2017-11-18,3,0.94
2017-11-19,4,0.58
2017-11-20,10,7.07
2017-11-21,3,1.12
2017-11-22,3,1.66
2017-11-23,0,0.0
2017-11-24,0,0.0
2017-11-25,0,0.0
2017-11-26,0,0.0
2017-11-27,0,0.0
2017-11-28,0,0.0
2017-11-29,3,0.36
2017-11-30,10,11.97
2017-12-01,21,20.81
2017-12-02,16,9.75
2017-12-03,10,6.66
2017-12-04,21,22.81
2017-12-05,20,23.4
2017-12-06,77,87.17
2017-12-07,20,22.05
2017-12-08,0,0.0
2017-12-09,0,0.0
2017-12-10,0,0.0
2017-12-11,5,0.78
2017-12-12,12,5.5
2017-12-13,13,6.29
2017-12-14,14,8.49
2017-12-15,19,14.46
2017-12-16,14,6.94
2017-12-17,28,26.75
2017-12-18,10,11.31
2017-12-19,8,7.34
2017-12-20,16,79.81
2017-12-21,17,6.49
2017-12-22,31,11.26
2017-12-23,12,5.92
2017-12-24,5,1.13
2017-12-25,2,0.32
2017-12-26,0,0.0
2017-12-27,0,0.0
2017-12-28,0,0.0
2017-12-29,0,0.0
2017-12-30,0,0.0
2017-12-31,0,0.0
2018-01-01,0,0.0
2018-01-02,0,0.0
2018-01-03,0,0.0
2018-01-04,0,0.0
2018-01-05,0,0.0
2018-01-06,0,0.0
2018-01-07,0,0.0
2018-01-08,0,0.0
2018-01-09,2,0.35
2018-01-10,0,0.0
2018-01-11,0,0.0
2018-01-12,0,0.0
2018-01-13,0,0.0
2018-01-14,1,0.84
2018-01-15,2,0.84
2018-01-16,6,2.25
2018-01-17,13,2.21
2018-01-18,11,2.91
2018-01-19,10,4.89
2018-01-20,15,7.73
2018-01-21,14,2.58
2018-01-22,14,4.92
2018-01-23,17,5.11
2018-01-24,16,7.01
2018-01-25,5,2.0
2018-01-26,0,0.0
2018-01-27,9,3.1
2018-01-28,22,4.15
2018-01-29,14,2.98
2018-01-30,9,1.63
2018-01-31,13,5.87
2018-02-01,20,5.88
2018-02-02,10,3.18
2018-02-03,8,1.65
2018-02-04,2,0.36
2018-02-05,8,1.41
2018-02-06,14,3.43
2018-02-07,18,4.5
2018-02-08,43,13.12
2018-02-09,6,0.72
2018-02-10,48,11.83
2018-02-11,34,10.48
2018-02-12,5,3.73
2018-02-13,2,0.24
2018-02-14,1,0.16
2018-02-15,5,0.65
2018-02-16,3,0.23
2018-02-17,0,0.0
2018-02-18,0,0.0
2018-02-19,2,0.99
2018-02-20,3,0.35
2018-02-21,5,0.99
2018-02-22,3,0.4
2018-02-23,0,0.0
2018-02-24,4,1.46
2018-02-25,1,0.18
2018-02-26,0,0.0
2018-02-27,0,0.0
2018-02-28,2,0.5
2018-03-01,4,1.1
2018-03-02,0,0.0
2018-03-03,1,0.07
2018-03-04,1,0.15
2018-03-05,5,0.64
2018-03-06,3,0.32
2018-03-07,4,0.6
2018-03-08,3,0.37
2018-03-09,0,0.0
2018-03-10,0,0.0
2018-03-11,0,0.0
2018-03-12,0,0.0
2018-03-13,1,0.07
2018-03-14,0,0.0
2018-03-15,6,1.02
2018-03-16,8,1.01
2018-03-17,22,4.37
2018-03-18,2,0.25
2018-03-19,4,0.66
2018-03-20,2,0.17
2018-03-21,19,2.67
2018-03-22,25,3.55
2018-03-23,22,2.98
2018-03-24,60,7.62
2018-03-25,17,2.58
2018-03-26,20,2.41
2018-03-27,9,1.06
2018-03-28,5,0.62
2018-03-29,26,3.24
2018-03-30,26,2.89
2018-03-31,0,0.0
2018-04-01,0,0.0
2018-04-02,3,0.5
2018-04-03,9,1.7
2018-04-04,4,0.38
2018-04-05,0,0.0
2018-04-06,1,0.09
2018-04-07,0,0.0
2018-04-08,0,0.0
2018-04-09,2,0.23
2018-04-10,24,2.51
2018-04-11,73,10.61
2018-04-12,78,10.99
2018-04-13,94,33.35
2018-04-14,4,0.43
2018-04-15,6,0.65
2018-04-16,20,3.16
2018-04-17,0,0.0
2018-04-18,1,0.2
2018-04-19,0,0.0
2018-04-20,2,0.23
2018-04-21,13,10.12
2018-04-22,19,17.34
2018-04-23,176,27.5
2018-04-24,17,3.28
2018-04-25,1,0.09
2018-04-26,0,0.0
2018-04-27,0,0.0
2018-04-28,1,0.09
2018-04-29,0,0.0
2018-04-30,3,0.68
2018-05-01,2,0.66
2018-05-02,0,0.0
2018-05-03,0,0.0
2018-05-04,0,0.0
2018-05-05,0,0.0
2018-05-06,1,0.1
2018-05-07,2,0.33
2018-05-08,20,3.03
2018-05-09,43,23.41
2018-05-10,6,2.12
2018-05-11,3,0.85
2018-05-12,1,0.74
2018-05-13,2,2.11
2018-05-14,3,0.88
2018-05-15,0,0.0
2018-05-16,1,0.2
2018-05-17,1,0.44
2018-05-18,2,0.9
2018-05-19,4,0.85
2018-05-20,16,10.27
2018-05-21,3,0.38
2018-05-22,0,0.0
2018-05-23,0,0.0
2018-05-24,0,0.0
2018-05-25,1,0.19
2018-05-26,0,0.0
2018-05-27,0,0.0
2018-05-28,0,0.0
2018-05-29,1,0.48
2018-05-30,0,0.0
2018-05-31,0,0.0
2018-06-01,0,0.0
2018-06-02,0,0.0
2018-06-03,0,0.0
2018-06-04,1,0.1
2018-06-05,2,0.51
2018-06-06,1,0.56
2018-06-07,0,0.0
2018-06-08,0,0.0
2018-06-09,0,0.0
2018-06-10,0,0.0
2018-06-11,0,0.0
2018-06-12,0,0.0
2018-06-13,0,0.0
2018-06-14,0,0.0
2018-06-15,0,0.0
2018-06-16,0,0.0
2018-06-17,1,1.39
2018-06-18,0,0.0
2018-06-19,0,0.0
2018-06-20,0,0.0
2018-06-21,0,0.0
2018-06-22,0,0.0
2018-06-23,0,0.0
2018-06-24,0,0.0
2018-06-25,0,0.0
2018-06-26,0,0.0
2018-06-27,0,0.0
2018-06-28,0,0.0
2018-06-29,0,0.0
2018-06-30,0,0.0
2018-07-01,2,0.46
2018-07-02,0,0.0
2018-07-03,0,0.0
2018-07-04,0,0.0
2018-07-05,0,0.0
2018-07-06,0,0.0
2018-07-07,0,0.0
2018-07-08,0,0.0
2018-07-09,0,0.0
2018-07-10,0,0.0
2018-07-11,0,0.0
2018-07-12,0,0.0
2018-07-13,0,0.0
2018-07-14,0,0.0
2018-07-15,0,0.0
2018-07-16,0,0.0
2018-07-17,0,0.0
2018-07-18,0,0.0
2018-07-19,0,0.0
2018-07-20,0,0.0
2018-07-21,0,0.0
2018-07-22,0,0.0
2018-07-23,0,0.0
2018-07-24,0,0.0
2018-07-25,0,0.0
2018-07-26,0,0.0
2018-07-27,0,0.0
2018-07-28,0,0.0
2018-07-29,0,0.0
2018-07-30,0,0.0
2018-07-31,0,0.0
2018-08-01,0,0.0
2018-08-02,0,0.0
2018-08-03,0,0.0
2018-08-04,0,0.0
2018-08-05,0,0.0
2018-08-06,0,0.0
2018-08-07,0,0.0
2018-08-08,1,2.47
2018-08-09,0,0.0
2018-08-10,0,0.0
2018-08-11,0,0.0
2018-08-12,0,0.0
2018-08-13,0,0.0
2018-08-14,0,0.0
2018-08-15,0,0.0
2018-08-16,0,0.0
2018-08-17,0,0.0
2018-08-18,0,0.0
2018-08-19,0,0.0
2018-08-20,0,0.0
2018-08-21,0,0.0
2018-08-22,0,0.0
2018-08-23,0,0.0
2018-08-24,0,0.0
2018-08-25,0,0.0
2018-08-26,0,0.0
2018-08-27,0,0.0
2018-08-28,0,0.0
2018-08-29,0,0.0
2018-08-30,0,0.0
2018-08-31,0,0.0
2018-09-01,0,0.0
2018-09-02,0,0.0
2018-09-03,0,0.0
2018-09-04,0,0.0
2018-09-05,0,0.0
2018-09-06,0,0.0
2018-09-07,0,0.0
2018-09-08,0,0.0
2018-09-09,0,0.0
2018-09-10,0,0.0
2018-09-11,0,0.0
2018-09-12,0,0.0
2018-09-13,0,0.0
2018-09-14,0,0.0
2018-09-15,0,0.0
2018-09-16,1,0.33
2018-09-17,0,0.0
2018-09-18,0,0.0
2018-09-19,0,0.0
2018-09-20,1,0.09
2018-09-21,1,0.49
2018-09-22,0,0.0
2018-09-23,0,0.0
2018-09-24,1,0.14
2018-09-25,3,1.02
2018-09-26,0,0.0
2018-09-27,0,0.0
2018-09-28,1,0.13
2018-09-29,0,0.0
2018-09-30,0,0.0
2018-10-01,0,0.0
2018-10-02,0,0.0
2018-10-03,0,0.0
2018-10-04,0,0.0
2018-10-05,0,0.0
2018-10-06,0,0.0
2018-10-07,0,0.0
2018-10-08,0,0.0
2018-10-09,0,0.0
2018-10-10,0,0.0
2018-10-11,0,0.0
2018-10-12,0,0.0
2018-10-13,0,0.0
2018-10-14,0,0.0
2018-10-15,0,0.0
2018-10-16,1,0.19
2018-10-17,0,0.0
2018-10-18,2,0.71
2018-10-19,1,0.21
2018-10-20,1,20.41
2018-10-21,0,0.0
2018-10-22,0,0.0
2018-10-23,0,0.0
2018-10-24,0,0.0
2018-10-25,0,0.0
2018-10-26,0,0.0
2018-10-27,0,0.0
2018-10-28,1,0.28
2018-10-29,1,0.18
2018-10-30,0,0.0
2018-10-31,0,0.0
2018-11-01,1,0.15
2018-11-02,8,2.67
2018-11-03,4,1.0
2018-11-04,1,0.27
2018-11-05,4,1.57
2018-11-06,8,1.5
2018-11-07,16,15.27
2018-11-08,5,1.77
2018-11-09,2,0.44
2018-11-10,0,0.0
2018-11-11,0,0.0
2018-11-12,0,0.0
2018-11-13,0,0.0
2018-11-14,0,0.0
2018-11-15,0,0.0
2018-11-16,0,0.0
2018-11-17,4,1.35
2018-11-18,10,4.1
2018-11-19,2,0.56
2018-11-20,1,0.9
